Image Name,First Dominant Color,First Dominant Color Primary,First dominant string color,Second Dominant Color,Second Dominant Primary,Second dominant string color
bg_1.jpg,Blood Red,Brown,LightBrown,DarkSlateGray or DarkSlateGrey (W3C),Green,Navy
gbb.jpg,Desert Sand,Beige,Beige,Dark Sienna,Brown,LightBrown
ggw.jpg,Dark Forest Green,Green,Green,DarkOliveGreen (W3C),Green,SageGreen
bgb.jpg,Charcoal,Black,Black,Carbon Gray,Gray,Gray
gg.jpg,Metallic Gold,Gold,Beige,Copper,Brown,Beige
bg.jpg,Dark Sienna,Brown,LightBrown,Wood,Brown,LightBrown
gb.jpg,Desert Sand,Beige,Beige,Camel Brown,Brown,Beige
ry.jpg,Mahogany,Brown,LightBrown,Red (W3C),Red,Red
gbg.jpg,Gray Brown,Brown,Black,Pale Silver,Gray,Gray
pp.jpg,Charcoal,Black,Black,Blood Red,Brown,LightBrown
