Image Name,First Dominant Color,First Dominant Color Primary,First dominant string color,Second Dominant Color,Second Dominant Primary,Second dominant string color
ry.jpg,Black Bean,Brown,Black,Plum Purple,Purple,Navy
bg.jpg,Bakers Brown,Brown,LightBrown,SeaGreen (W3C),Green,Green
bg_1.jpg,Bakers Brown,Brown,LightBrown,SeaGreen (W3C),Green,Green
bgb.jpg,Midnight,Gary,Black,Sage Green,Green,Gray
gb.jpg,Bakers Brown,Brown,LightBrown,Purple Monster,Purple,Navy
gbb.jpg,Bakers Brown,Brown,LightBrown,Blood Night,Red,Black
gbg.jpg,Charcoal,Black,Black,Midnight,Gary,Black
gg.jpg,Blood Red,Brown,LightBrown,Deep Purple,Purple,Navy
ggw.jpg,Dark Slate,Blue,Black,Dark Forest Green,Green,Green
pp.jpg,Bakers Brown,Brown,LightBrown,SeaGreen (W3C),Green,Green
